tweet_id,favorite_count,retweet_count
892420643555336193,39467,8853
892177421306343426,33819,6514
891815181378084864,25461,4328
891689557279858688,42908,8964
891327558926688256,41048,9774
891087950875897856,20562,3261
890971913173991426,12041,2158
890729181411237888,56848,16716
890609185150312448,28226,4429
890240255349198849,32467,7711
890006608113172480,31166,7624
889880896479866881,28268,5156
889665388333682689,38818,8538
889638837579907072,27672,4735
889531135344209921,15359,2321
889278841981685760,25652,5637
888917238123831296,29611,4709
888804989199671297,26080,4559
888554962724278272,20290,3732
888078434458587136,22201,3653
887705289381826560,30779,5609
887517139158093824,46959,12082
887473957103951883,69871,18781
887343217045368832,34222,10737
887101392804085760,31061,6167
886983233522544640,35859,8084
886736880519319552,12306,3443
886680336477933568,22798,4610
886366144734445568,21524,3316
886267009285017600,117,4
886258384151887873,28469,6523
886054160059072513,0,108
885984800019947520,33382,7097
885528943205470208,36689,6683
885518971528720385,20788,3899
885311592912609280,0,19297
885167619883638784,22367,4556
884925521741709313,68152,16439
884876753390489601,28514,6096
884562892145688576,24765,5100
884441805382717440,27478,5856
884247878851493888,74423,21298
884162670584377345,20771,3128
883838122936631299,22349,3586
883482846933004288,46860,10407
883360690899218434,22986,3825
883117836046086144,37914,6949
882992080364220416,24445,4122
882762694511734784,28903,5134
882627270321602560,28382,6342
882268110199369728,45880,12118
882045870035918850,29900,5203
881906580714921986,24773,3533
881666595344535552,51522,11099
881633300179243008,129,7
881536004380872706,50199,16570
881268444196462592,23501,5358
880935762899988482,17346,2886
880872448815771648,21734,3989
880465832366813184,29075,6546
880221127280381952,27640,4436
880095782870896641,28150,4533
879862464715927552,22667,3642
879674319642796034,315,10
879492040517615616,23822,3323
879415818425184262,107956,45849
879376492567855104,17099,3261
879130579576475649,0,7181
879050749262655488,23022,4941
879008229531029506,19317,2812
878776093423087618,19763,4319
878604707211726852,30931,7582
878404777348136964,0,1349
878316110768087041,0,6965
878281511006478336,7913,1349
878057613040115712,42876,7181
877736472329191424,71144,17300
877611172832227328,0,83
877556246731214848,23258,3994
877316821321428993,27907,5414
877201837425926144,27755,5880
876838120628539392,21125,3506
876537666061221889,23869,4800
876484053909872640,19163,2511
876120275196170240,28490,4903
875747767867523072,25773,4497
875144289856114688,22185,5081
875097192612077568,27997,6342
875021211251597312,26022,4922
874680097055178752,28439,4875
874434818259525634,0,15546
874296783580663808,26651,4308
874057562936811520,23134,4125
874012996292530176,35501,11007
873697596434513921,0,12518
873580283840344065,24837,4143
873337748698140672,0,1667
873213775632977920,7467,1667
872967104147763200,28031,5669
872820683541237760,15029,3884
872668790621863937,0,31
872620804844003328,21309,3911
872486979161796608,41606,9429
872261713294495745,35085,6649
872122724285648897,35324,8549
871879754684805121,39090,11918
871762521631449091,20787,3678
871515927908634625,20730,3628
871166179821445120,0,5991
871102520638267392,21461,5764
871032628920680449,23255,3999
870804317367881728,33791,6393
870726314365509632,121,3
870656317836468226,12819,2817
870374049280663552,85011,27680
870308999962521604,22453,4384
870063196459192321,37771,8840
869988702071779329,0,25661
869772420881756160,43710,10663
869702957897576449,29116,6728
869596645499047938,16476,3327
869227993411051520,21112,4023
868880397819494401,55098,12518
868639477480148993,0,2240
868622495443632128,28295,6275
868552278524837888,10539,2240
867900495410671616,24964,4439
867774946302451713,35179,7788
867421006826221569,16755,2697
867072653475098625,0,135
867051520902168576,33420,8425
866816280283807744,0,32883
866720684873056260,20888,5168
866686824827068416,20070,3727
866450705531457537,106827,32883
866334964761202691,54720,15546
866094527597207552,0,8952
865718153858494464,26640,6008
865359393868664832,27530,5384
865006731092295680,29063,8209
864873206498414592,33651,9361
864279568663928832,15195,3266
864197398364647424,31459,9616
863907417377173506,21477,4441
863553081350529029,15935,4489
863471782782697472,0,2687
863432100342583297,24829,5664
863427515083354112,2363,105
863079547188785154,9094,1195
863062471531167744,8945,2687
862831371563274240,20011,5457
862722525377298433,17779,3809
862457590147678208,21492,5388
862096992088072192,66437,21840
861769973181624320,0,37911
861383897657036800,37744,11528
861288531465048066,18032,4479
861005113778896900,17538,4119
860981674716409858,0,2334
860924035999428608,0,882
860563773140209665,7878,2334
860524505164394496,24678,5698
860276583193509888,19154,3745
860184849394610176,17474,6295
860177593139703809,0,33421
859924526012018688,20021,4349
859851578198683649,16105,3780
859607811541651456,19476,1704
859196978902773760,75193,25661
859074603037188101,35553,14740
858860390427611136,0,8805
858843525470990336,16304,3771
858471635011153920,22640,5271
858107933456039936,16524,3154
857989990357356544,16952,2812
857746408056729600,36021,11524
857393404942143489,6236,1785
857263160327368704,21041,4934
857214891891077121,242,20
857062103051644929,0,183
857029823797047296,19910,4364
856602993587888130,0,11633
